Domain Code;Domain;Area Code;Area;Element Code;Element;Item Code;Item;Year Code;Year;Unit;Value;Flag;Flag Description
QL;Livestock Primary;211;Switzerland;5510;Production;1097;Meat, horse;1965;1965;tonnes;2651;;Official data
QL;Livestock Primary;211;Switzerland;5510;Production;1097;Meat, horse;1966;1966;tonnes;2867;;Official data
QL;Livestock Primary;211;Switzerland;5510;Production;1097;Meat, horse;1967;1967;tonnes;2754;;Official data
QL;Livestock Primary;211;Switzerland;5510;Production;1097;Meat, horse;1968;1968;tonnes;2566;;Official data
QL;Livestock Primary;211;Switzerland;5510;Production;1097;Meat, horse;1969;1969;tonnes;2493;;Official data
QL;Livestock Primary;211;Switzerland;5510;Production;1097;Meat, horse;1970;1970;tonnes;2374;;Official data
QL;Livestock Primary;211;Switzerland;5510;Production;1097;Meat, horse;1971;1971;tonnes;2113;;Official data
QL;Livestock Primary;211;Switzerland;5510;Production;1097;Meat, horse;1972;1972;tonnes;1767;;Official data
QL;Livestock Primary;211;Switzerland;5510;Production;1097;Meat, horse;1973;1973;tonnes;1676;;Official data
QL;Livestock Primary;211;Switzerland;5510;Production;1097;Meat, horse;1974;1974;tonnes;1479;;Official data
QL;Livestock Primary;211;Switzerland;5510;Production;1097;Meat, horse;1975;1975;tonnes;1524;;Official data
QL;Livestock Primary;211;Switzerland;5510;Production;1097;Meat, horse;1976;1976;tonnes;1670;;Official data
QL;Livestock Primary;211;Switzerland;5510;Production;1097;Meat, horse;1977;1977;tonnes;1458;;Official data
QL;Livestock Primary;211;Switzerland;5510;Production;1097;Meat, horse;1978;1978;tonnes;1490;;Official data
QL;Livestock Primary;211;Switzerland;5510;Production;1097;Meat, horse;1979;1979;tonnes;1490;;Official data
QL;Livestock Primary;211;Switzerland;5510;Production;1097;Meat, horse;1980;1980;tonnes;1267;;Official data
QL;Livestock Primary;211;Switzerland;5510;Production;1097;Meat, horse;1981;1981;tonnes;1310;;Official data
QL;Livestock Primary;211;Switzerland;5510;Production;1097;Meat, horse;1982;1982;tonnes;1474;;Official data
QL;Livestock Primary;211;Switzerland;5510;Production;1097;Meat, horse;1983;1983;tonnes;1373;;Official data
